title,production_countries
"Good Morning, Babylon","['france', 'italy', 'united states of america']"
Hiding Out,
Hollywood Shuffle,
Hope and Glory,"['united kingdom', 'united states of america']"
Hot Pursuit,"['mexico', 'united states of america']"
Housekeeping,['united states of america']
Hunk,['united states of america']
Innerspace,['united states of america']
Ironweed,['united states of america']
Ishtar,['united states of america']
Jaws: The Revenge,['united states of america']
Leonard Part 6,['united states of america']
Less Than Zero,['united states of america']
Like Father Like Son,['united states of america']
The Lost Boys,['united states of america']
Made in Heaven,['united states of america']
Maid to Order,['united states of america']
Making Mr. Right,['united states of america']
Mannequin,['united states of america']
Masters of the Universe,['united states of america']
Million Dollar Mystery,['united states of america']
The Monster Squad,['united states of america']
A Month in the Country,['united kingdom']
Morgan Stewart's Coming Home,['united states of america']
My Demon Lover,['united states of america']
No Man's Land,['united states of america']
North Shore,['united states of america']
Head Over Heels,['united states of america']
Left Behind,['canada']
Valentine,['united states of america']
In the Mood for Love,"['china', 'hong kong']"
Fever,
The Million Dollar Hotel,"['united states of america', 'germany']"
Nico and Dani,['spain']
Hannibal,"['united kingdom', 'united states of america']"
Saving Silverman,['united states of america']
Signs & Wonders,"['greece', 'france']"
The Taste of Others,['france']
Vatel,"['belgium', 'france', 'united kingdom']"
Down to Earth,['united states of america']
Recess: School's Out,['united states of america']
Sweet November,['united states of america']
Company Man,"['france', 'united kingdom', 'united states of america']"
The Price of Milk,['new zealand']
Monkeybone,['united states of america']
3000 Miles to Graceland,['united states of america']
The Widow of Saint-Pierre,"['france', 'canada']"
The Mexican,"['mexico', 'united states of america']"
See Spot Run,"['australia', 'united states of america']"
Carman: The Champion,
The Caveman's Valentine,['united states of america']
"Me, You, Them",['brazil']
Series 7: The Contenders,['united states of america']
15 Minutes,"['germany', 'united states of america']"
Get Over It,['united states of america']
Blow Dry,"['germany', 'united states of america', 'united kingdom']"
Hit and Runway,
Long Night's Journey Into Day,
Simon Magus,
When Brendan Met Trudy,"['ireland', 'united kingdom']"
Avalon,['united states of america']
Gray's Anatomy,['united states of america']
Madadayo,['japan']
The Mirror Crack'd,['united kingdom']
Of Mice and Men,['united states of america']
Pixote,['brazil']
Reform School Girls,['united states of america']
Tapeheads,
Tuff Turf,['united states of america']
The Unbelievable Truth,['united states of america']
The Bishop's Wife,['united states of america']
Elvis That's the Way It Is,['united states of america']
The Fortune Cookie,['united states of america']
Lilies of the Field,['united states of america']
Hans Christian Andersen,['united states of america']
The Greatest Story Ever Told,['united states of america']
Elmer Gantry,['united states of america']
Alfie,['united kingdom']
Demetrius and the Gladiators,['united states of america']
The Fantasticks,['united states of america']
I Know Where I'm Going!,['united kingdom']
The Abominable Dr. Phibes,"['united kingdom', 'united states of america']"
"Die, Monster, Die!","['united kingdom', 'united states of america']"
Real Life,['united states of america']
Battle Beyond the Stars,['united states of america']
Death Warrant,"['canada', 'united states of america']"
Double Impact,['united states of america']
The End,['united states of america']
Fuzz,['united states of america']
Harley Davidson and the Marlboro Man,['united states of america']
Losin' It,"['canada', 'united states of america']"
Mermaids,['united states of america']
The Mighty Quinn,['united states of america']
Unmade Beds,
Rated X,['united states of america']
Manhunter,['united states of america']
Reversal of Fortune,"['japan', 'united kingdom', 'united states of america']"
Death on the Nile,['united kingdom']
DeepStar Six,['united states of america']
Revenge of the Nerds,['united states of america']
Revenge of the Nerds II: Nerds in Paradise,['united states of america']
Longtime Companion,['united states of america']
4 Little Girls,['united states of america']
River's Edge,['united states of america']
Girls Just Want to Have Fun,['united states of america']
The Longest Yard,['united states of america']
Necessary Roughness,['united states of america']
C.H.U.D.,['united states of america']
Enemy at the Gates,"['ireland', 'united states of america', 'germany', 'united kingdom']"
Exit Wounds,"['canada', 'united states of america']"
The Dish,['australia']
Memento,['united states of america']
The Brothers,['united states of america']
Heartbreakers,['united states of america']
Say It Isn't So,['united states of america']
Too Much Sleep,
Someone Like You...,['united states of america']
Spy Kids,['united states of america']
Tomcats,['united states of america']
The Tailor of Panama,"['ireland', 'united states of america']"
Amores perros,['mexico']
Keep the River on Your Right: A Modern Cannibal Tale,['united states of america']
The Gleaners & I,['france']
Along Came a Spider,"['canada', 'germany', 'united states of america']"
Blow,['united states of america']
Just Visiting,"['france', 'united states of america']"
Pokémon: Spell of the Unknown,['japan']
Beautiful Creatures,['united kingdom']
Brigham City,['united states of america']
The Day I Became a Woman,['iran']
Shadow Magic,"['china', 'germany', 'taiwan', 'united states of america']"
Bridget Jones's Diary,"['france', 'ireland', 'united kingdom', 'united states of america']"
Joe Dirt,['united states of america']
Josie and the Pussycats,"['canada', 'united states of america']"
Kingdom Come,
The Body,"['united states of america', 'israel', 'germany']"
Chopper,['australia']
The Circle,['iran']
Lakeboat,
Crocodile Dundee in Los Angeles,"['australia', 'united states of america']"
Freddy Got Fingered,['united states of america']
The Center of the World,['united states of america']
The Girl,
The Low Down,['united kingdom']
The Luzhin Defence,
The Visit,['united states of america']
Lilies,['canada']
Scarface,['united states of america']
Days of Wine and Roses,['united states of america']
Driven,"['australia', 'canada', 'united states of america']"
The Forsaken,['united states of america']
One Night at McCool's,['united states of america']
Town & Country,
Rat,"['united kingdom', 'united states of america', 'ireland']"
The Mummy Returns,['united states of america']
Eureka,"['japan', 'france']"
Tuvalu,['germany']
Under the Sand,['france']
Cleopatra,"['united kingdom', 'united states of america', 'switzerland']"
Krull,"['spain', 'united kingdom', 'italy', 'united states of america']"
Lost in America,['united states of america']
The Lost World,['united states of america']
Triumph of the Will,['germany']
True Believer,['united states of america']
The World According to Garp,['united states of america']
Candy,"['france', 'italy', 'united states of america']"
Fellini Satyricon,"['italy', 'france']"
Roma,['italy']
Frankie and Johnny,['united states of america']
Frankie and Johnny,['united states of america']
A Home of Our Own,['united states of america']
Paris When It Sizzles,['united states of america']
Pola X,"['france', 'germany', 'japan', 'switzerland']"
City of Women,"['france', 'italy']"
For the Boys,['united states of america']
Nine to Five,['united states of america']
Norma Rae,['united states of america']
Summer Rental,['united states of america']
